taxonomy	Fe1	Fe2	Fe3	Fe4	Fe5	Fe6	Q1	Q2	Q3	Q4	Q5	Q6
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Raoultella	0	0	0	0.00499367467874026	0	0	0	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Erwiniaceae; g__Pantoea	2.6800497752913	0	3.34372726327825	3.98162327718224	0.00984615384615385	0.188132141254444	1.39264805828137	0	0.150369869511247	0.707133803542947	0	0
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia	0	0.00458905052544629	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae	0.00411366043789915	0	0	0.00166455822624675	0	0	0	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Rodentibacter	0	0	0	0.00332911645249351	0	0	0	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter	0.0164546417515966	0.010012473873701	0.0062363579669473	0.0324588854118117	0	0	0	0	0.0206884719797354	0	0	0
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Alkanindiges	0.00617049065684873	0.00125155923421262	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Psychrobacter	0	0.000834372822808415	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae	0	0	0	0	0	0	0	0.0230043708304578	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas	0	15.0658528750402	0	0	25.1766153846154	0.279609237460734	0	28.2942806752331	0	0	19.2597757248271	0.226734285925816
