Feature ID	Taxon	Consensus
5f0faabf243f8bd7b81cbedd073effdf	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Colpodea	1.0
5ff413dac5fc7b076932f7b60c8f594f	d__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales	1.0
614bb58a45aab07c520a2e69d3ed2657	d__Eukaryota; p__Chytridiomycota; c__Chytridiomycetes	0.9
61ce90d12e6e14c75dc13536f87ee80c	d__Eukaryota; p__Chytridiomycota; c__Chytridiomycetes	0.9
622f47fef986d6e007223bcf846cca42	d__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium	0.7
65689907f47c5aba6402e7fda80ea392	d__Eukaryota; p__Ochrophyta; c__Chrysophyceae; o__Ochromonadales; f__Ochromonadales; g__Ochromonas	0.9
68b5bd74d0db8b438656bfc4d478e5fd	d__Eukaryota; p__Basidiomycota; c__Agaricomycetes; o__Agaricales	1.0
6a4ae979b564c75f81ee4c7c46b981d8	d__Eukaryota; p__Mucoromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae	0.6
6b0c1924363f08c82d4ee6f69e956d42	d__Eukaryota; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae	0.9
6be92f63b2d5193dba1760b8e742552f	d__Eukaryota; p__Mucoromycota; c__Incertae_Sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__uncultured_Eimeriidae	0.6
6c4f7e4242387b0aee63671b4893626d	d__Eukaryota; p__Bicosoecida	1.0
6d84c7bfd958b90e96114bf91f6f31aa	d__Eukaryota; p__Basidiomycota; c__Agaricomycetes	1.0
6ec374c3c1c66b7ef4ba6028d36ba2ee	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Colpodea	1.0
735a5ab09bc536160b48c104c0388fab	d__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium	0.7
75fed10fb11b4c23467e7d6ec43db10a	d__Eukaryota; p__Ascomycota; c__Dothideomycetes; o__Pleosporales	1.0
778365a3afacb58435dc6fbb7ee79362	d__Eukaryota; p__SAR; c__Labyrinthulomycetes; o__Labyrinthulomycetes; f__Labyrinthulomycetes; g__Sorodiplophrys; s__metagenome	1.0
7ad279725a20c8ec7fa28c8d245d457b	d__Eukaryota; p__Aphelidea; c__Aphelidea; o__Aphelidea; f__Aphelidea; g__uncultured; s__uncultured_fungus	1.0
7b2d33838d0512e28515868968de1f4c	d__Eukaryota; p__Cercozoa; c__Imbricatea; o__Imbricatea; f__Euglyphida	1.0
7bdc2c121b2d2cf91241ad97dc899f47	d__Eukaryota; p__Zoopagomycota; c__Incertae_Sedis; o__Zoopagales; f__Zoopagales; g__Zoopagales	0.6666666666666666
7cb098b791d9e67875950fe7167bca8c	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae	0.9
7ce7c7f9b00adbf1116cd2cf47c4cbe0	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Incertae_Sedis; g__Sarocladium	1.0
7f8d14c82437014cebfbe9c8e7733627	d__Eukaryota; p__Mucoromycota; c__Incertae_Sedis; o__Mucorales; f__Mucoraceae; g__Mucor	1.0
80584f00598fdfeb7ad472a6a1825f1c	d__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae	0.8
81979356618c524328e9a9fc41c30906	d__Eukaryota; p__Chytridiomycota; c__Chytridiomycetes	1.0
81ad1bfa5b0ab38d5703460b48ea862e	d__Eukaryota; p__Nucleariidae_and_Fonticula_group; c__Nucleariidae_and_Fonticula_group; o__Nucleariidae_and_Fonticula_group; f__Nucleariidae; g__Nuclearia; s__metagenome	1.0
81e48e1905b90f2a5e43abf546ef8dd0	d__Eukaryota; p__Ascomycota; c__Dothideomycetes; o__Pleosporales	1.0
871d22d11c8de95e55890d1fcafb1331	d__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium	0.7
89958d37efcdaff266916ab10b81825d	d__Eukaryota; p__Chytridiomycota; c__Chytridiomycetes	0.8
8b44e08fea2b892464043db896e2e71e	d__Eukaryota; p__Blastocladiomycota; c__Blastocladiomycetes; o__Blastocladiales; f__Blastocladiales; g__Catenaria	1.0
8bae209c39a3551ea5029a6a15165d21	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Diaporthales	0.8
